chName,style,歌入／無,テンポ,説明文,備考
週間 Billboard 全米チャート,リピート放送,入,オール,全米チャートの代名詞とも言える『Billboard HOT 100』のチャートを毎週お届けする洋楽最新ヒットチャート番組。チャート上位20曲とTOP100にランクインした注目曲、上位曲を放送。最先端の洋楽ヒット曲を日本にいながらにして堪能できるので、話題の洋楽シーンをチェックしたい方はもちろん、飲食店や美容室など、あらゆる業種でお使いいただける番組です。,2時間番組を毎週土曜日に更新
週間 Billboard JAPANチャート,リピート放送,入,オール,全米チャートで永く信頼を得ているBillboardが新しいコンセプトで集計した日本国内の洋邦シングル総合チャート「Billboard Japan Hot 100」。その週間チャート上位25曲をはじめ、発売されたばかりの最新曲、発売目前の注目曲をオンエア。J-POP、洋楽の最新ヒット曲を毎週お届けします。,3時間番組を毎週土曜日に更新
USEN 推し活リクエストランキング,リピート/シャッフル放送,混在,オール,誰でも利用可能なWEBサービス「USEN 推し活リクエスト」で、楽曲のリクエスト投票を毎日募集します。毎週水曜日18時から1週間の期間で集計。ランキング上位の20位までを固定に、21位～50位をシャッフルに、ピックアップ曲を加えて毎週土曜日更新でお送りしています。,
USENリクエスト J-POP HOT30,リピート放送,入,オール,USENリクエストにおけるJ-POPの総合計を基に構成される楽曲の数々。リスナーの多くが「今、一番聴きたい」と思うJ-POP楽曲ランキング上位30曲と注目曲を毎週土曜日更新にてお送りしています。,3時間番組を毎週土曜日に更新
USENリクエスト 演歌／歌謡曲 HOT20,リピート放送,入,オール,全国のUSENへ寄せられる演歌・歌謡曲リクエストを基に作ったオリジナルの演歌・歌謡曲ランキング上位20位の曲と、注目曲で構成し今の演歌・歌謡曲を知る上で欠かせない、ファン必聴のチャンネルです。毎週更新しているので、最新の演歌ヒットがチェックでき、いつでも新鮮な気分でお楽しみいただけます。カラオケ・ファンが集うお店のBGMにもおすすめです。,2時間番組を毎週土曜日に更新
邦楽 HIT SELECT 30,シャッフル放送,入,オール,最新曲やヒット曲はもちろん、現在話題のトレンド曲など、音楽シーンを賑わせている注目の邦楽の中から、USENがBGMとしておすすめする楽曲を毎週約30曲セレクトし、シャッフル放送でお届けします。今の音楽シーン、トレンドを反映しつつもBGM性の高さを追及した、こだわりの邦楽専門チャンネルです。飲食店はもちろん、理美容店、アパレル雑貨など、幅広い業種でご利用いただけます。,2時間番組を毎週土曜日に更新
洋楽 HIT SELECT 30,シャッフル放送,入,オール,最新曲やヒット曲はもちろん、現在話題のトレンド曲など、音楽シーンを賑わせている注目の洋楽の中から、USENがBGMとしておすすめする楽曲を毎週約30曲セレクトし、シャッフル放送でお届けします。今の音楽シーン、トレンドを反映しつつもBGM性の高さを追求した、こだわりの洋楽専門チャンネルです。,2時間番組を毎週土曜日に更新
SNS NOW,シャッフル放送,入,オール,若い世代を中心に各種SNSで話題になっている最新曲、人気曲、注目曲を厳選してセレクト。SNSシーンの今を切り取った楽曲のラインナップをお届けします。流行に敏感な10～20代の若者から支持を集める曲が満載で、トレンド感を演出したい業務店での利用におすすめです。,
Now Playing Global,シャッフル放送,入,オール,ヨーロッパのラジオで現在流れている最新の洋楽の中から、BGM性の高い楽曲のみを厳選してお届け。リアルタイムで流行している楽曲はもちろん、ヒット目前の最新曲まで鮮度の高い洋楽をお楽しみいただけます。若い方が多く集まる飲食店や美容室など幅広い業種でご活用ください。,
最新☆J-POP,シャッフル放送,入,オール,毎週たくさんリリースされるJ-POPの新曲をまとめてチェックしたいならこのチャンネルで！発売前や配信限定といった貴重な音源や、発売後3ヵ月以内のJ-POP最新曲をメインにいち早くお届けします。またシングル曲だけに限らず、話題のカップリング曲やアルバム収録のナンバー、ヒット曲のニュー・バージョンなどもピックアップ。流行に敏感な若者が集うお店でのご利用にもおすすめです。,
最新J-POP NOW,シャッフル放送,入,オール,最新リリース楽曲はもちろん、すでに話題になってる楽曲やこれから話題になるような楽曲を中心に構成されるJ-POPチャンネル。シングル曲のみに限らずアルバム曲や配信曲など幅広く最新J-POPの今をお届けします。トレンドの最先端であり、さまざまな業種にお勧めのチャンネルです。,
最新☆洋楽,シャッフル放送,入,オール,洋楽最新曲をセレクトした専門チャンネル。ビルボード・チャートや世界中で人気を集めるヒット曲はもちろん、発売／配信前後の新曲、SNSや巷で話題の楽曲など、音楽シーンを賑わせている洋楽をいち早くキャッチできるラインナップでお届けします。小売り店や飲食店での元気さやカジュアルさの演出にもおすすめです。,
最新☆洋楽 POP Style,シャッフル放送,入,ミドル～アップ,ビルボード・チャートや世界中で人気を集めるヒット曲はもちろん、発売したての新曲、発売目前の話題曲など最新洋楽の中から聴いていて楽しくなる明るい楽曲を厳選してお届け。ミドル～アップテンポで統一されているので店内を活気付け、24時間ノリのいい洋楽最先端BGMをお楽しみいただけます。,
最新洋楽トレンド,シャッフル放送,入,オール,巷で話題となっている旬な最新洋楽をセレクト。発売したての新曲や発売目前の話題曲、配信限定曲など、最新のサウンドをPICK UPします。トレンドに敏感なアパレルやファッション雑貨など若者の集まるお店に最適なBGMです。,
最新☆J-POP＆洋楽,シャッフル放送,入,オール,「今、日本で流行している音楽をまとめてチェックしたい」そんなお客様からの声にお応えした、最新のJ-POPと洋楽のヒット曲を同時にお楽しみいただけるチャンネルです。USENランキングをはじめ、オリコンやBillboardチャートにランクインしている、今まさに巷でヒット中のナンバーや発売前の話題曲などをいち早くお届けします。変化の速い音楽シーンの今を逃すことなくキャッチできるオイシイ番組です。,
最新☆TV＆CINEMA,シャッフル放送,入,オール,現在テレビや動画配信サービスで使用されている旬のドラマ主題歌や番組テーマソング、CMタイアップ曲、そして上映中の映画主題歌まで、最新タイアップ曲をジャンルレスでお送りします。これさえ押さえておけば、今の流行や話題をしっかりとキャッチできること間違いありません。「最近、どこかで耳にしたことがある曲」で構成しているチャンネルですので、店舗利用においてもカジュアルさと親近感の演出にお役立てください。,
最新☆アニメ,シャッフル放送,入,オール,24時間いつでも最新アニメソングをお届けする専門チャンネル。旬のアニメ主題歌やキャラクターソングなど最新曲をいち早くセレクト。コアなアニメファンの方も楽しめ、満足できる必聴番組となっています。,
最新☆DANCE MUSIC,シャッフル放送,混在,ミドル～アップ,ダンスミュージックの最新曲だけをセレクトした専門チャンネル。世界中で人気を集めるヒット曲はもちろん、リリース直後の新曲などダンスミュージック・シーンの最先端をいち早くキャッチできる内容をお届けします。若い世代が集まる店内空間をアクティヴに演出するツールとしてもおすすめです。,
最新☆BOYS J-POP,シャッフル放送,入,オール,日本の音楽シーンに欠かせない存在となった男性ボーイズグループの楽曲をチェックしたいならこのチャンネルで！国民的人気を誇るアイドルや、海外でも活躍の場を広げているアーティストたちの最新楽曲をいち早くお届けします。流行に敏感な若者が集まるお店などにオススメです。,
ニューリリース J-POP,シャッフル放送,入,オール,J-POPの新曲を堪能できるニューリリース最速チャンネル。アルバム、シングル、配信限定曲など、毎週数多くリリースされるJ-POPの新曲。このチャンネルでは、発売直前から発売直後の前後約1カ月の間にリリースされた新曲から選りすぐってお届けします。流行に敏感な若い世代の方が集うお店でのご利用にもおすすめです。,
ニューリリース 洋楽,シャッフル放送,入,オール,洋楽の新曲を堪能できるニューリリース最速チャンネル。このチャンネルでは、毎週数多くリリースされる洋楽の新曲から選りすぐってお届けします。日本盤アルバムはもちろん、配信音源、輸入盤など洋楽シーンの最先端をキャッチアップできる内容です。各ジャンルから幅広くセレクトしますので、流行に敏感な若者が集うお店でのご利用にもおすすめです。,
アーティスト特集 MONTHLY J-POP,タイムテーブル参照,入,オール,"【6月：宇多田ヒカル】
今月は5月6日（水）にニューシングル「パッパパラダイス」をリリースした宇多田ヒカルを特集。
「パッパパラダイス」はTVアニメ「ちびまる子ちゃん」のエンディング主題歌。日曜日の夜を穏やかな気持ちにしてくれる、暖かみに満ちた名曲です。
特集ではニューシングルはもちろん、これまでリリースされた宇多田ヒカルの楽曲をたっぷりとお届けします。

■シングル・コレクション

宇多田ヒカルの歴代シングル表題曲をお送りします。

6/1～6/30
毎日　12:00～、20:00～
2時間番組（シャッフル放送）

■オールシャッフル

数多くの楽曲をランダムにシャッフルしてお送りします。毎日同じ時間に聴いても、異なる曲順でお楽しみいただけます。

6/1～6/30
毎日　0:00～、14:00～、22:00～
（シャッフル放送）",毎月1日に更新
アーティスト特集 WEEKLY J-POP,タイムテーブル参照,入,オール,"【キタニタツヤ】（放送期間：6月22日～6月28日）
今週は6/17(水)にニューシングル「火種」「れびてーしょん」をリリースしたキタニタツヤを特集。
「火種」はTVアニメ「日本三國」のオープニングテーマ。心の奥底から高揚感を煽ってくれるリズムとメロディが特徴の作品。「れびてーしょん」はTVアニメ「NEEDY GIRL OVERDOSE」のエンディングテーマ。「火種」とは対照的に浮遊感と切なさを感じる作品となっています。
特集ではニューシングルだけではなく、キタニタツヤの代表曲から隠れた名曲まで、彼の魅力をたっぷりとお届けします。",毎週月曜日に更新
アーティスト特集 MONTHLY 演歌／歌謡曲,タイムテーブル参照,入,オール,"【6月：島津亜矢】

【歌怪獣】島津亜矢：デビュー40周年、圧倒的な歌唱力で切り拓く新境地と軌跡


日本を代表する実力派女性演歌歌手、島津亜矢。ジャンルを問わない圧倒的な歌唱力と豊かな表現力から、近年では“歌怪獣”のニックネームでも幅広い世代に親しまれています。2026年にデビュー40周年という大きな節目を迎えた彼女の、これまでの歩みとさらなる飛躍への軌跡を紐解きます。

★天性の歌声と演歌歌手としての確かな足跡
熊本県（現：熊本市北区）出身の島津亜矢は、幼少期から数々の歌謡コンテストに出場し、類まれなる才能を発揮していました。14歳で昭和を代表する作詞家・星野哲郎氏に弟子入りを果たし、1986年5月にシングル「袴をはいた渡り鳥」で堂々のデビューを飾ります。

彼女の持ち味は、なんといってもその確かな歌唱力です。1991年に「愛染かつらをもう一度」が30万枚を超える大ヒットを記録すると、2001年には「感謝状〜母へのメッセージ〜」でNHK紅白歌合戦に初出場を果たしました。さらに2015年には「帰らんちゃよか」で14年ぶりの紅白復帰を果たし、以降も複数回にわたり圧巻のステージを披露するなど、演歌界の第一線を走り続け、多くの人々の心を揺さぶる名曲を世に送り出してきました。

★“歌怪獣”覚醒。ジャンルレスな音楽への挑戦
演歌の枠に留まらない彼女の高い歌唱力は、ポップスや洋楽のカバーアルバム『SINGER』シリーズの大ヒットへと繋がり、いつしか敬意を込めて“歌怪獣”と呼ばれるようになりました。アトランティック・ジャパンからは「アヤ・シマヅ」名義で全世界デビューも果たしており、ジャンルを問わない音楽への挑戦を続けています。

特に近年は、新たな境地を開拓する充実の年となりました。2024年にはアレサ・フランクリンの楽曲をカバーしたアルバム『AYA's Soul Searchin'－ Aretha Franklin－』をリリース。続く2025年も、4月にポップス・カバーアルバム『SINGER 9』、9月にシングル「帰らんちゃよか(2025Ver.)」、10月に『昭和 Hit Songs』と立て続けに作品を発表し、歌にかける情熱を新たに、凛とした生き方で輝きを増し続けています。

★デビュー40周年のアニバーサリーイヤーが始動
そして2026年、いよいよデビュー40周年を迎える記念の年として、全国各地を巡る精力的なステージ活動を展開しています。5月10日には、大阪城ホールで開催された「第２０回 母に感謝のコンサート」に出演し、会場を感動の渦に包み込みました。さらに、来たる6月17日には、恩師である故・星野哲郎氏の貴重な資料をもとに制作された、デビュー40周年記念の新曲シングル「一日一生（いちじついっしょう）」のリリースも控えています。

アニバーサリーイヤーの集大成として、翌2027年1月には大阪のフェスティバルホール、地元の熊本城ホール、そして東京国際フォーラムという大舞台での「40周年リサイタル」特別公演の開催も決定しました。長年のキャリアに裏打ちされた実力と、圧倒的な表現力。常に進化を止めないトップランナー・島津亜矢のさらなる飛躍から、今後も目が離せません。

■島津亜矢シングルコレクション 前半

毎日 8:00～　2時間番組


ソングリスト
■島津亜矢シングルコレクション 後半

毎日 18:00～　2時間番組


ソングリスト",毎月1日に更新
アーティスト特集 MONTHLY 洋楽,タイムテーブル参照,混在,オール,"【6月：フー・ファイターズ】
前作より約3年振り、通算12枚目となるスタジオ作『ユア・フェイヴァリット・トイ』をリリースのフー・ファイターズをピックアップ。デイヴ・グロールが設立し、バンドのホームスタジオである” Studio 606”にてレコーディング。そのスタジオ606の敏腕エンジニアであるオリヴァー・ローマンが共同プロデューサーとして初のクレジット。何より、元ナイン・インチ・ネイルズのイラン・ルービンがドラマーとして加入して以来、初のフルアルバムとなり、そんな新鮮な編成のもと、パンキッシュでガレージ感の強い、突き抜けるような荒々しい疾走感が印象的な1枚に。築き上げてきた偉大なキャリアの現在進行形の姿を捉えつつ、初期の衝動的な作品も想い起こさせる、爽快でエネルギッシュな本作を中心、彼らのキャリアを振り返ります。

■フー・ファイターズ  ベスト・セレクション
最新作『ユア・フェイヴァリット・トイ』を中心に、キャリアを代表する楽曲をお届けします。

6/1～6/30
毎日 0:00～、6:00～、12:00、18:00～
3時間番組（シャッフル放送）

■オールシャッフル
これまでにリリースされた楽曲をシャッフル番組にてお届けします。

6/1～6/30
毎日 3:00～、9:00～、15:00、21:00～
3時間番組（シャッフル放送）                                       ",毎月1日に更新／放送楽曲の一部に過激な表現が含まれます
アーティスト特集 WEEKLY 洋楽,タイムテーブル参照,混在,オール,"【ケラーニ】（放送期間：6月22日～6月28日）
第68回グラミー賞授賞式で2冠に輝いたR&Bの実力派マルチプラチナ・アーティスト、ケラーニが待望のニュー・アルバムをリリース！本作は、大ヒット曲「フォールデッド」や、ミッシー・エリオット、ブランディー、カーディー・B、リル・ウェインら豪華ゲストとのコラボを多数収録した集大成的な作品です。自身の名を冠したセルフ・タイトル作である通り、彼女が自分自身と正直に向き合い、飾らない言葉でリスナーに語りかける内容で、ケラーニのキャリアの新たな章を刻む一作となることは間違いありません。この特集ではそんな最新作を中心に過去作も含めてお届けします。",毎週月曜日に更新／放送楽曲の一部に過激な表現が含まれます
美空ひばり,シャッフル放送,入,オール,昭和の歌謡界を代表する“歌姫”美空ひばり。1946年にデビューしてから1989年に永眠するまでの間に、オリジナル曲517曲を含め、1500曲という膨大な曲をレコーディングし、数え切れないほどのヒット曲を生んできました。そんな不世出の大歌手･美空ひばりの楽曲を、オリジナル曲、カヴァー曲にこだわらずラインナップ。大ヒットした曲、隠れた名曲、意外なカヴァー曲など、美空ひばりの奥深い魅力を味わえます。,
石原裕次郎,シャッフル放送,入,オール,昭和を代表するスーパースター、石原裕次郎。俳優としてはもちろん、歌手としても大活躍しました。生涯で500を超える曲をレコーディングし、「嵐を呼ぶ男」、「銀座の恋の物語」、「ブランデーグラス」など、多くの曲が大ヒット。“ムード歌謡と言えば裕次郎”のというイメージもありました。オリジナル、カヴァー曲も含め、石原裕次郎のムード溢れる歌声を存分にご堪能ください。,
サザンオールスターズ,シャッフル放送,入,オール,1978年「勝手にシンドバッド」で衝撃のデビューを果たしたサザンオールスターズ。そのパワーは今もヒート･アップし続け、もはや国民的ロックバンドと呼べる存在になっていると言っても過言ではないでしょう。このチャンネルでは、いつ聴いても心を熱く刺激してくれるサザンオールスターズのシングル、アルバム曲を網羅して放送しています。その名曲の数々をご堪能ください。,
松任谷由実,シャッフル放送,入,オール,このチャンネルでは、ユーミンこと松任谷由実の楽曲だけを毎日24時間放送しています。洗練されたメロディと、女性的で文学小説のような詩の内容から、年代、性別を問わず多くの支持を受け「恋愛の教祖」の異名をとる彼女。日本のポップス・シーンの頂点に君臨する松任谷由実の魅力を存分にお楽しみください。,
EXILE TRIBE,シャッフル放送,入,オール,“今、自分たちができること、持っているものをすべてエンターテインメントに注ぎ込む”というEXILEの精神性。そんなDNAを秘めたEXILE TRIBE（一族）のナンバーをお楽しみいただけます。EXILEの名曲はもちろん、EXILE TRIBEの豪華なラインナップで、最新リリース曲も織り交ぜ、24時間お届けしています。,
ザ・ビートルズ,シャッフル放送,入,オール,ザ・ビートルズの専門チャンネル。イギリス、リバプール出身の4人の若者によって結成されたバンドは、やがて20世紀を代表するグループとして世界の音楽シーンに多大な影響を与える偉大な存在となります。わずか8年足らずの活動で生み出した250曲以上の作品は、どれも粒揃いの名曲ばかり。24時間ザ・ビートルズの名曲に浸れるこのチャンネルは、店舗のBGMとしても大変人気です。,
エルヴィス・プレスリー,シャッフル放送,入,オール,キング･オブ･ロックンロールの称号を冠され、20世紀を代表するスーパースターであるエルヴィス･プレスリー。甘いルックスや映画進出などで得たアイドル的人気とともに、カントリーやブルースなどの影響を受けた確かな音楽的センスでロカビリーというスタイルを生み出した才能は、今なお高く評価されています。数々のヒット曲と伝説に彩られながらも非業の死を遂げたカリスマの魅力をたっぷりとお届けします。,
エルヴィス・プレスリー・クリスマス,シャッフル放送,入,オール,永遠不滅のロック・スター！プレスリーのX'mas。,
カーペンターズ,シャッフル放送,入,オール,1970年代の洋楽ポップス・シーンを彩ったヒットメーカー＝カーペンターズの専門チャンネル。兄のリチャードが生み出す珠玉のメロディと妹のカレンの美しい歌声は、世代を超えて多くの音楽ファンから支持されてきました。彼らの楽曲は現在でもCMやドラマ主題歌などで耳にする機会が多く、その人気の高さを証明しています。このチャンネルでは彼らの心暖まるサウンドをお届けしています。,
カーペンターズ・クリスマス,シャッフル放送,入,オール,エヴァーグリーンな歌声で聴くカーペンターズのX'mas。,
エリック・クラプトン,シャッフル放送,混在,オール,ギターの神様と謳われるエリック・クラプトンの専門チャンネル。「スローハンド」の異名を持つ彼のギター・プレイは、クリームやデレク＆ザ・ドミノスなどで数多くの名演をロック史に刻み込み、偉大なる足跡を残すリヴィング・レジェンドです。このチャンネルでは彼のキャリアとグループ遍歴を追って、今や入手困難となったレア音源も含んだセレクトで、24時間彼のヴォーカルとギターがお楽しみいただけます。,
ボブ・ディラン,シャッフル放送,混在,オール,ポピュラー音楽界の最重要人物＝ボブ・ディランの専門チャンネル。プロテスト・フォークからフォーク・ロックへと時代を創り、スタイルの変遷を繰り返しながら独自の音楽世界を作り上げてきたアーティストです。アメリカ文化の体現者として築き上げた半世紀以上にもわたる音楽遍歴を網羅し、スタジオ、ライヴなど、さまざまな音源をセレクト。アメリカ音楽史とともに生きる、その偉大なる伝説の全てをお楽しみください。,
ザ・ローリング・ストーンズ,シャッフル放送,混在,オール,ロックの歴史とともに転がり続ける世界最高のロックンロール・バンド＝ザ・ローリング・ストーンズの専門チャンネル。デビュー以来、常に第一線で活躍し続け、80歳を過ぎた今でも圧倒的なステージパフォーマンスを見せる彼らの姿は、「本物のロックンローラー」としての誇りとエネルギーに溢れています。半世紀以上にもわたるバンド・キャリアを網羅し、24時間ストーンズ・サウンドの魅力をお楽しみいただけます。,
マイケル・ジャクソン,シャッフル放送,入,オール,史上最大のポップ・アイコン＝マイケル・ジャクソン。2009年6月25日、50歳という若さで逝去した“キング・オブ・ポップ”の集大成に24時間浸れる、全ての音楽ファンにおすすめのチャンネル。1億枚以上を売り上げた世界一の名作『スリラー』以降の超人的活躍はもちろん、ジャクソン･5として活躍したモータウン期～ジャクソンズ時代の“天才ソウル・シンガー”マイケル・ジャクソンも、余すことなくお届けします。,
マイケル・ジャクソン・クリスマス,シャッフル放送,入,オール,史上最大のポップ・アイコン＝マイケル・ジャクソンのX'mas。,
クラシック特集,シャッフル放送,混在,オール,近年のクラシック界を彩る話題作や注目アーティストなどを中心に、様々なテーマで作品を厳選。交響曲から室内楽、器楽、声楽作品まで、多彩な響きを幅広くお届けします。新進気鋭の若手による瑞々しい演奏から、後世に語り継がれるべき隠れた名演まで、クラシック界の「今」を凝縮した、トレンド感あふれるクラシックBGMをお楽しみください。,
モーツァルト,シャッフル放送,無,オール,今もなお世界中の人たちの心を捉えて離さないモーツァルト作品が24時間いつでも楽しめる専門チャンネル。オペラ／声楽曲を除く全作品の中から、BGMとしてご利用いただけるよう明るくて聴きやすい作品だけをラインナップしてお届けしています。さまざまなモーツァルト効果（集中力アップ・ストレス緩和・食品の熟成など）が期待できるBGMとしても注目されているチャンネルです。,
ショパン,シャッフル放送,無,オール,「ピアノの詩人」として愛され続けるショパンの作品が24時間楽しめる専門チャンネル。「ワルツ」や「ノクターン」といったピアノの代表作はもちろん、オーケストラを伴ったコンチェルトから室内楽作品まで、声楽作品を除く全作品からお送りしています。優秀な音楽家を輩出してきたショパン・コンクールの入賞者のほか、若手から巨匠まで「ショパン弾き」として名高いピアニストたちによる名演の数々をお楽しみください。,
バッハ,シャッフル放送,無,オール,後期バロックの代表的な作曲家として知られる、ヨハン・セバスティアン・バッハの作品が24時間楽しめる専門チャンネル。オーケストラの演奏による華やかな管弦楽作品から、チェンバロ伴奏が優雅な室内楽、モダン楽器によるピアノ作品まで、声楽／合唱を除く全作品から、BGM性の高い楽曲だけをセレクトしてお送りしています。バッハ演奏に定評あるアーティストをはじめ、実力派たちの演奏でお愉しみください。,
ベートーヴェン,シャッフル放送,無,オール,クラシック史上最も偉大な作曲家のひとりであるベートーヴェンの作品が24時間楽しめる専門チャンネル。ロマン派や現代に続く音楽家たちに多大な影響を与えた32曲のピアノ･ソナタや16曲の弦楽四重奏曲、また生涯のライフワークとも言える交響曲や協奏曲など、数多くの名曲から、BGM性の高い作品だけをセレクトしてお送りしています。,
ブラームス,シャッフル放送,無,オール,19世紀ドイツ音楽の作曲家、ヨハネス・ブラームスの作品が24時間いつでも楽しめる専門チャンネル。バッハやベートーヴェンと並んでドイツ音楽の「3大B」と称されるブラームスの音楽は、重厚で味わい深く、叙情的な世界が広がります。放送では彼の代表的な管弦楽作品や、メロディックで滋味深い室内楽・ピアノ作品から、BGM性の高い楽曲をセレクトしてお届けします。,
ヴィヴァルディ,シャッフル放送,無,ミドル～アップ,イタリア・バロック音楽の代表的な作曲家である、アントニオ・ヴィヴァルディ（1678-1741）の作品が24時間楽しめる専門チャンネル。イタリアらしい明朗で爽やかな音調の作品の数々は、華やかさと上品さ双方の雰囲気を演出します。放送では、声楽作品を除く全作品の中から、BGMとしてご利用いただけるようなミドル～アップテンポの明るくて聴きやすい作品を集めてお送りしています。,
シューベルト,シャッフル放送,無,オール,ドイツ・ロマン派の開拓者、フランツ・シューベルト （1797-1828）の作品が24時間楽しめる専門チャンネル。31年という決して長くはない生涯の中で膨大な数の作品を書き上げたシューベルトですが、その多くは美しい旋律と色彩豊かな音色を奏で、聴く人をあたたかく迎え入れてくれます。放送では声楽作品を除く全作品の中から、BGM性の高い作品を集めてお送りしています。,
チャイコフスキー,シャッフル放送,無,オール,ロシアの作曲家、ピョートル・イリイチ・チャイコフスキー（1840-1893）の作品が24時間楽しめる専門チャンネル。放送では、声楽作品を除く全作品の中からBGM性の高い楽曲だけを集めてお送りしています。ドラマティックで美しい旋律が人気の交響曲／協奏曲／バレエ作品をはじめ、滋味深い室内楽作品やピアノ独奏に至るまで、ロマン派クラシックの魅力を伝える本格クラシックBGMをご活用ください。,
